epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.4093,1.85581,5.02634,1.98594,0,0,0,0,2.86729,5.95052,2.23127,0,0,0
2,2.67908,2.06841,5.14485,2.1979,0,0,0,0,2.82494,5.94116,2.19864,1.16644e-06,1.16644e-06,1.16644e-06
3,3.94666,2.25663,5.02494,2.63628,0,0,0,0,2.76015,5.96597,2.12251,2.28575e-06,2.28575e-06,2.28575e-06
4,5.1012,1.93912,5.08981,2.41129,0,0,0,0,2.72649,5.9672,2.08746,3.35794e-06,3.35794e-06,3.35794e-06
5,6.27544,1.88166,5.06914,2.17922,0,0,0,0,2.72223,5.93212,2.09882,4.38301e-06,4.38301e-06,4.38301e-06
6,7.38756,2.11303,5.22689,2.24329,0,0,0,0,2.7259,5.86732,2.13187,5.36095e-06,5.36095e-06,5.36095e-06
7,8.59181,1.86709,5.1833,1.99777,0,0,0,0,2.66492,5.85653,2.10293,6.29177e-06,6.29177e-06,6.29177e-06
8,10.217,1.84399,5.16366,1.97865,0,0,0,0,2.56992,5.81335,2.07285,7.17546e-06,7.17546e-06,7.17546e-06
9,11.4134,1.86937,5.07765,2.04321,0,0,0,0,2.53282,5.76262,2.07058,8.01203e-06,8.01203e-06,8.01203e-06
10,12.6037,2.29522,5.23009,2.25121,0,0,0,0,2.51595,5.74879,2.06189,8.80148e-06,8.80148e-06,8.80148e-06
11,13.748,2.26856,5.21032,2.36861,0,0,0,0,2.45601,5.74401,2.05564,9.5438e-06,9.5438e-06,9.5438e-06
12,14.8678,1.72565,5.0504,2.03108,0,0,0,0,2.4542,5.73106,2.06709,1.0239e-05,1.0239e-05,1.0239e-05
13,15.9615,2.05495,5.43323,2.46185,0,0,0,0,2.44712,5.72186,2.07165,1.08871e-05,1.08871e-05,1.08871e-05
14,17.0841,2.18797,5.11837,2.26512,0,0,0,0,2.42372,5.70629,2.05869,1.1488e-05,1.1488e-05,1.1488e-05
15,18.1584,2.09906,5.17676,2.11307,0,0,0,0,2.42671,5.69021,2.0833,1.20418e-05,1.20418e-05,1.20418e-05
16,19.5091,1.89846,5.12264,2.37994,0,0,0,0,2.43802,5.6814,2.11823,1.25486e-05,1.25486e-05,1.25486e-05
17,20.8176,1.64079,5.05023,1.98853,0,0,0,0,2.41971,5.67455,2.11613,1.30081e-05,1.30081e-05,1.30081e-05
18,21.897,2.3564,5.03967,2.27288,0,0,0,0,2.41971,5.67455,2.11613,1.34206e-05,1.34206e-05,1.34206e-05
19,23.1123,2.14043,5.08471,2.20682,0,0,0,0,2.38436,5.65368,2.10335,1.37859e-05,1.37859e-05,1.37859e-05
