epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.96824,1.85581,5.02634,1.98594,0,0,0,0,2.86729,5.95052,2.23127,0,0,0
2,3.23218,2.06841,5.14485,2.1979,0,0,0,0,2.82492,5.94118,2.19862,1.17822e-06,1.17822e-06,1.17822e-06
3,4.50708,2.25662,5.02494,2.63628,0,0,0,0,2.76006,5.966,2.12244,2.33288e-06,2.33288e-06,2.33288e-06
4,5.79066,1.9391,5.08977,2.41127,0,0,0,0,2.72638,5.96716,2.08743,3.46397e-06,3.46397e-06,3.46397e-06
5,7.08837,1.88168,5.0691,2.17926,0,0,0,0,2.72212,5.93195,2.09886,4.5715e-06,4.5715e-06,4.5715e-06
6,8.22086,2.11275,5.22686,2.24311,0,0,0,0,2.72543,5.8672,2.13177,5.65548e-06,5.65548e-06,5.65548e-06
7,9.39142,1.86689,5.18303,1.99761,0,0,0,0,2.66401,5.85621,2.10274,6.71588e-06,6.71588e-06,6.71588e-06
8,10.5121,1.84309,5.16341,1.97815,0,0,0,0,2.56942,5.8122,2.07263,7.75273e-06,7.75273e-06,7.75273e-06
9,11.7057,1.86975,5.07679,2.04405,0,0,0,0,2.53283,5.76106,2.07076,8.76602e-06,8.76602e-06,8.76602e-06
10,12.7902,2.29275,5.22995,2.2499,0,0,0,0,2.51355,5.74963,2.06111,9.75574e-06,9.75574e-06,9.75574e-06
11,13.8779,2.26615,5.21098,2.36711,0,0,0,0,2.4529,5.7428,2.05543,1.07219e-05,1.07219e-05,1.07219e-05
12,14.9797,1.72389,5.05043,2.02983,0,0,0,0,2.45195,5.72797,2.06649,1.16645e-05,1.16645e-05,1.16645e-05
13,16.0392,2.05095,5.42745,2.45873,0,0,0,0,2.44391,5.71709,2.07134,1.25835e-05,1.25835e-05,1.25835e-05
14,17.1867,2.20452,5.11033,2.28255,0,0,0,0,2.41677,5.69762,2.05617,1.3479e-05,1.3479e-05,1.3479e-05
15,18.4109,2.09341,5.17677,2.10938,0,0,0,0,2.42511,5.68269,2.08729,1.43509e-05,1.43509e-05,1.43509e-05
