epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,143.461,1.83249,3.0222,1.64094,0.30252,0.30752,0.22383,0.08737,1.93116,6.72622,1.68921,0.000553554,0.000553554,0.000553554
2,293.341,1.93861,2.56358,1.7257,0.27361,0.30602,0.21684,0.08444,1.97472,7.13054,1.838,0.00107262,0.00107262,0.00107262
3,630.428,1.92441,2.33794,1.68352,0.3534,0.34287,0.2852,0.10581,1.94774,3.90043,1.76548,0.001555,0.001555,0.001555
4,782.981,1.91002,2.23173,1.7023,0.42893,0.36576,0.34259,0.14914,1.80214,4.51444,1.66813,0.00150197,0.00150197,0.00150197
5,966.149,1.85965,2.10099,1.65404,0.34563,0.32848,0.25554,0.10265,1.87697,3.70647,1.64519,0.00144696,0.00144696,0.00144696
6,1163.13,1.81074,2.03134,1.62744,0.40939,0.37216,0.32976,0.14201,1.76715,4.23182,1.64515,0.00139195,0.00139195,0.00139195
7,1367.11,1.77335,1.96323,1.60591,0.45348,0.48536,0.41796,0.18868,1.75666,3.19926,1.60367,0.00133693,0.00133693,0.00133693
8,1538.93,1.74571,1.8916,1.5879,0.45837,0.47313,0.423,0.20078,1.63161,4.11284,1.54282,0.00128192,0.00128192,0.00128192
9,1700.03,1.73829,1.86619,1.56454,0.49511,0.50065,0.45024,0.20247,1.67862,2.92507,1.54708,0.00122691,0.00122691,0.00122691
10,1874.5,1.73359,1.84355,1.56122,0.49289,0.48405,0.43477,0.19995,1.68913,2.88995,1.53067,0.0011719,0.0011719,0.0011719
11,2039.2,1.70117,1.76601,1.54856,0.51995,0.51658,0.472,0.21658,1.61634,3.66252,1.47556,0.00111689,0.00111689,0.00111689
12,2206.35,1.68565,1.7362,1.52655,0.51126,0.49021,0.47837,0.23072,1.6206,2.66984,1.47611,0.00106188,0.00106188,0.00106188
13,2371.04,1.63988,1.69749,1.50216,0.55627,0.53511,0.5182,0.25134,1.62162,2.50405,1.49276,0.00100687,0.00100687,0.00100687
14,2540.18,1.64581,1.67636,1.50832,0.48017,0.51955,0.48641,0.23884,1.59194,3.34999,1.45876,0.000951857,0.000951857,0.000951857
15,2711.51,1.61215,1.64047,1.46833,0.54281,0.54908,0.5305,0.26986,1.56824,2.35022,1.44561,0.000896846,0.000896846,0.000896846
16,2901.06,1.59775,1.6418,1.48255,0.58287,0.53535,0.54332,0.2643,1.57232,2.79728,1.44755,0.000841835,0.000841835,0.000841835
17,3081.64,1.59753,1.60869,1.47157,0.55769,0.54936,0.54557,0.27073,1.53673,3.30115,1.42768,0.000786824,0.000786824,0.000786824
18,3284.78,1.56789,1.56084,1.45917,0.56911,0.54011,0.54134,0.28233,1.54777,2.46478,1.42532,0.000731813,0.000731813,0.000731813
19,3458.18,1.55502,1.55714,1.44904,0.59238,0.51733,0.53415,0.26104,1.56679,2.86031,1.43901,0.000676802,0.000676802,0.000676802
20,3629.76,1.5501,1.52146,1.4344,0.62291,0.5498,0.57529,0.30072,1.49314,2.7793,1.38796,0.000621791,0.000621791,0.000621791
21,3796.47,1.61135,1.55859,1.48998,0.56352,0.51823,0.532,0.26775,1.53779,2.37324,1.42717,0.00056678,0.00056678,0.00056678
22,3954.98,1.59046,1.49469,1.46904,0.61876,0.57289,0.57775,0.30173,1.48571,2.33083,1.41457,0.000511769,0.000511769,0.000511769
23,4137.87,1.54363,1.47324,1.45865,0.61465,0.57018,0.58255,0.29346,1.51143,2.7393,1.416,0.000456758,0.000456758,0.000456758
24,4301.11,1.52839,1.45869,1.44435,0.65339,0.58437,0.60533,0.31609,1.47105,2.52308,1.35832,0.000401747,0.000401747,0.000401747
25,4463.82,1.50826,1.37757,1.41499,0.67228,0.58385,0.62158,0.32443,1.48212,2.22647,1.3752,0.000346736,0.000346736,0.000346736
26,4624.79,1.51231,1.36494,1.42303,0.66182,0.54981,0.59237,0.30827,1.4798,2.09103,1.36889,0.000291725,0.000291725,0.000291725
27,4798.71,1.49951,1.34654,1.40997,0.6594,0.58702,0.61543,0.32493,1.47338,2.43331,1.38093,0.000236714,0.000236714,0.000236714
28,4957.92,1.45449,1.28896,1.39007,0.67089,0.58791,0.62644,0.33323,1.4599,2.15456,1.37961,0.000181703,0.000181703,0.000181703
29,5125.18,1.42266,1.24835,1.36339,0.69195,0.58423,0.62928,0.34146,1.47002,2.21052,1.38437,0.000126692,0.000126692,0.000126692
30,5295.26,1.42401,1.25607,1.35098,0.70964,0.59149,0.64243,0.3425,1.45769,2.0604,1.37045,7.1681e-05,7.1681e-05,7.1681e-05
